query,named_entity,type
Beret - Ojalá,beret,Artist
Beret - Ojalá,ojalá,WoA
Looking for Music that Incorporates Bossa Nova and Electronic Instruments and/or Unconventional Instruments...?,,
Song similar to Airport Bar by Noah,airport bar,WoA
Song similar to Airport Bar by Noah,noah,Artist
Songs/bands like Sweet,sweet,Artist
shamanic experience playlist?,,
Songs that sound sinister/threatening,,
"Artists like Smino, Sudan archives, FJK, Jessie Reyez, or Tash Sultana",smino,Artist
"Artists like Smino, Sudan archives, FJK, Jessie Reyez, or Tash Sultana",sudan archives,Artist
"Artists like Smino, Sudan archives, FJK, Jessie Reyez, or Tash Sultana",fjk,Artist
"Artists like Smino, Sudan archives, FJK, Jessie Reyez, or Tash Sultana",jessie reyez,Artist
"Artists like Smino, Sudan archives, FJK, Jessie Reyez, or Tash Sultana",tash sultana,Artist
Modern 80s/synth pop,,
Looking for motivational music for my grind in life,,
Need new rap music to listen too in car...,,
help duet ideas,,
Singers with southern american/western accent who arent overly cheesy country?,,
Anything with similar charm?,,
Trying to figure out what genre or style of music this is HELP,,
Have a list of 65 songs/artists worth your time!,,
Looking for something similar to “an awesome wave” by alt j,alt j,Artist
Looking for something similar to “an awesome wave” by alt j,an awesome wave,WoA
Music for vibin,,
Relaxed electric songs?,,
"Rock, Hardrock,....",,
Looking for something like the punk refrain in this song,,
Super specific kind of song,,
"Alternative/indie/rock songs with a strong, emotional brass section?",,
Looking for good melodic rap songs/artists,,
Songs similar to I love you like a alcoholic - tax payers,tax payers,Artist
Songs similar to I love you like a alcoholic - tax payers,i love you like a alcoholic,WoA
"I'm addicted to ""This song is not about a girl"" by Flume & Chet Faker. What else would I like?",chet faker,Artist
"I'm addicted to ""This song is not about a girl"" by Flume & Chet Faker. What else would I like?",flume,Artist
"I'm addicted to ""This song is not about a girl"" by Flume & Chet Faker. What else would I like?",this song is not about a girl,WoA
"Looking for music that is similar to the soundtrack in little known game ""Automachef""",automachef,WoA
suggest music like this? Lots of violins playing fast,,
Some music like the one in Guardians of the Galaxy?,guardians of the galaxy,WoA
Looking for songs with young female (pop?generic?) singers,,
Looking for songs that give the same pump up feeling as this one.,,
"Looking for genuine ambient, probably atonal music",,
"Looking for similar stuff to The Contortionist's ""Rediscovered"" tracks",the contortionists,Artist
Songs like The Black Keys - I Got Mine. Just some good old-fashioned F-U rock n roll,the black keys,Artist
Songs like The Black Keys - I Got Mine. Just some good old-fashioned F-U rock n roll,i got mine,WoA
"Trying to find an album like ""Solitude Standing"" by Suzanne Vega - My favorite album since age 7",solitude standing,WoA
"Trying to find an album like ""Solitude Standing"" by Suzanne Vega - My favorite album since age 7",suzanne vega,Artist
J-pop or J-rock groups or artists?,,
Looking for some bass heavy clubbing songs with lyrics,,
"I like Metro Booming ""no Complaints"" and Drake Sneakin I need more songs with this vibe any ideas?",metro booming,Artist
"I like Metro Booming ""no Complaints"" and Drake Sneakin I need more songs with this vibe any ideas?",no complaints,WoA
"I like Metro Booming ""no Complaints"" and Drake Sneakin I need more songs with this vibe any ideas?",drake,Artist
"I like Metro Booming ""no Complaints"" and Drake Sneakin I need more songs with this vibe any ideas?",sneakin,WoA
feeling lonely and a little dead. any good music?,,
Synth & Rap - Songs like Atlantis by Bridgit Mendler,atlantis,WoA
Synth & Rap - Songs like Atlantis by Bridgit Mendler,bridgit mendler,Artist
4 Underrated Folk Pop Recommendations,,
Slow ambient (sleeping) music with some soft vocals that really make you feel like you are in another world,,
"Looking to listen to new bands, or anything similar? Love mostly indie/punk/jazz/ alt rock but am open to new suggestions.",,
Caye - Merry Go Round,caye,Artist
Caye - Merry Go Round,merry go round,WoA
recomend me artists/albums similar to this?,,
Country-rock(?) stuff like from A Star is Born,a star is born,WoA
I feel incompetent is everything I do. Do you have a track that matches my mood and can maybe help lift me out of it?,,
Really love this song. Any suggestions for similarly styled electronic music?,,
"Looking for similar sad, depressed, ambient, atmospheric beats such as this (Bones - DeadInDesignerClothes (internetBoi Remix))",bones,Artist
"Looking for similar sad, depressed, ambient, atmospheric beats such as this (Bones - DeadInDesignerClothes (internetBoi Remix))",deadindesignerclothes,WoA
"Looking for similar sad, depressed, ambient, atmospheric beats such as this (Bones - DeadInDesignerClothes (internetBoi Remix))",internetboi,Artist
Soho Disco - Hold On,soho disco,Artist
Soho Disco - Hold On,hold on,WoA
Looking for deep music similar to 2 pac/styles p,2 pac,Artist
Looking for deep music similar to 2 pac/styles p,styles p,Artist
Songs similar to Cindy by Tammany Hall NYC,cindy,WoA
Songs similar to Cindy by Tammany Hall NYC,tammany hall nyc,Artist
"In need of some music similar to the likes of Rage Against The Machine, Bring Me The Horizon and DZ Deathrays.",rage against the machine,Artist
"In need of some music similar to the likes of Rage Against The Machine, Bring Me The Horizon and DZ Deathrays.",bring me the horizon,Artist
"In need of some music similar to the likes of Rage Against The Machine, Bring Me The Horizon and DZ Deathrays.",dz deathrays,Artist
"Looking for a nostalgia trip courtesy of early 2000s highschool angsty, emo/goth, rock/nu-metal sound",,
Synthwave with vocals,,
The Honeymoon Era by Paiige,the honeymoon era,WoA
The Honeymoon Era by Paiige,paiige,Artist
Please recommend soothing songs for encouraging serenity and acceptance after a breakup,,
"Any similiar suggestions to the song ""Seeya"" by deadmau5 and Colleen D'agostino?",seeya,WoA
"Any similiar suggestions to the song ""Seeya"" by deadmau5 and Colleen D'agostino?",deadmau5,Artist
"Any similiar suggestions to the song ""Seeya"" by deadmau5 and Colleen D'agostino?",colleen dagostino,Artist
Black/ Arfican American Dream Pop??,,
Give me anything pretty much,,
Songs that make you FEEL,,
"Intense songs like ""The Chain"" by Fleetwood Mac?",the chain,WoA
"Intense songs like ""The Chain"" by Fleetwood Mac?",fleetwood mac,Artist
Rap songs with a dope beat like this one,,
"After a long music rut, I was happy to find Koi Child but they're gone now and I need more!",koi child,Artist
I need songs that give the message “I love you but I know I’m not good for you so I should go” sorta vibe,,
Songs similar to..,,
What would be the genre of this and where can I find more?,,
Recommend for me something similar to Sturgill Simpson,sturgill simpson,Artist
some good Indie Pop playlists? Preferably ones that get updated but any is welcomed.,,
looking for some new calming r&b,,
"What are some of the best symphonic/orchestra style scores in movies, games, tv shows etc",,
Any good spooky music?,,
I'm searching for songs that are like Post Malone - Leave,post malone,Artist
I'm searching for songs that are like Post Malone - Leave,leave,WoA
EDM Similar to this,,
other songs that use this vocal effect at the beginning?,,
Looking for the name of the genre and similar songs,,
Normie indie music,,
Songs where the lyrics perfectly match up with the beat,,
Can you suggest some songs similar to black sheep from scott pilgrim vs the world?,black sheep,WoA
Can you suggest some songs similar to black sheep from scott pilgrim vs the world?,scott pilgrim vs the world,WoA
I started running again and I need a new running playlist. Looking for music that has a sort of climactic part to run to.,,
Music similar to Nier: Automata's soundtrack,nier automatas,WoA
Looking for upbeat songs that tell a story.,,
Horror movie songs!,,
Looking for new bands that make atmospheric rock/metal songs you can sing along to.,,
"Upbeat jazz like those from ""Princess and the Frog"" and ""Hadestown""",princess and the frog,WoA
"Upbeat jazz like those from ""Princess and the Frog"" and ""Hadestown""",hadestown,WoA
"Looking for songs that follow a ""fun creepy"" vibe",,
"INDIE: Arctic Monkeys, Green Day, Nirvana etc",arctic monkeys,Artist
"INDIE: Arctic Monkeys, Green Day, Nirvana etc",nirvana,Artist
"INDIE: Arctic Monkeys, Green Day, Nirvana etc",green day,Artist
Could you recommend something like this?,,
Looking for jazz music with female singers who do ad-libs.,,
Where to start with Latino music?,,
Music like Kid Cudi's?,kid cudis,Artist
Feeling stressed and anxious and want calm but catchy vibes.,,
Lonely but melodic songs,,
Looking for songs with a “sad” harmonica like the Overcooked theme song.,overcooked,WoA
Looking for Jazz-ish music,,
suggest something similar to Wayfaring Strangers by Johnny Cash? (some good fiddle music?),wayfaring strangers,WoA
suggest something similar to Wayfaring Strangers by Johnny Cash? (some good fiddle music?),johnny cash,Artist
Melancholic/Vaporwave/90s retro style music?,,
Recently listened to: Time to Move by Carmen,time to move,WoA
Recently listened to: Time to Move by Carmen,carmen,Artist
emo rap,,
Anything like traditional Asian music with an EDM twist?,,
Looking for alternative Pop-Punk music,,
Best rap with piano in it?,,
Looking for songs like The Nights (Avicii),the nights,WoA
Looking for songs like The Nights (Avicii),avicii,Artist
Something that kind of sounds similar to the chorus of Feel Good Inc?,feel good inc,WoA
Need help finding songs about being carefree and lazy :),,
More songs like “Hold my liquor” by Kanye West,hold my liquor,WoA
More songs like “Hold my liquor” by Kanye West,kanye west,Artist
New albums to listen to!,,
Looking for songs similar to the following,,
"Looking for upbeat and celebratory hip hop songs that put you ""in the moment""",,
"Indie music, choir harmonizing with lead singer",,
Songs similar to Blank Space by I Prevail,blank space,WoA
Songs similar to Blank Space by I Prevail,i prevail,Artist
Trying to find the music genre and any suggestions like the second half of this song (already set the start point to halfway) Similar to Esbe Fulfill/ The Dream,esbe,Artist
Trying to find the music genre and any suggestions like the second half of this song (already set the start point to halfway) Similar to Esbe Fulfill/ The Dream,fulfill the dream,WoA
What lonely songs should I listen to this Valentine’s Day?,,
Band comparable to Soad,soad,Artist
Looking for music (new and old) in a similar vein to this.,,
"Cinematic style music, preferably with cellos/violins/brass instruments",,
"Looking for songs/albums that give off a ""feelgood driving home alone""-esque vibe.",,
Song suggestions for mother-son dance at wedding,,
What songs are similar to ATB - When It Ends It Starts Again,atb,Artist
What songs are similar to ATB - When It Ends It Starts Again,when it ends it starts again,WoA
Anything similar to Australian rapper Allday,allday,Artist
Really catchy song,,
Ive been getting into Tyler the creator and chance the rapper recently. Also looking for artists similar to Elvis bob Crosby and that kinda vibe,tyler the creator,Artist
Ive been getting into Tyler the creator and chance the rapper recently. Also looking for artists similar to Elvis bob Crosby and that kinda vibe,chance the rapper,Artist
Ive been getting into Tyler the creator and chance the rapper recently. Also looking for artists similar to Elvis bob Crosby and that kinda vibe,bob crosby,Artist
Ive been getting into Tyler the creator and chance the rapper recently. Also looking for artists similar to Elvis bob Crosby and that kinda vibe,elvis,Artist
need songs to listen to while emotionally looking out the window like a music video,,
Music like Portland by Bowling Shoes,portland,WoA
Music like Portland by Bowling Shoes,bowling shoes,Artist
I need good music recommendations.,,
Songs similar to Akiko Shikata's hymnos?,akiko shikatas,Artist
I want more spanish-language music in similar style to the soundtrack of the movie Coco.,coco,WoA
Looking for highlights/montage song,,
"Similar songs to ""Endless Summer"" by The Midnight?",endless summer,WoA
"Similar songs to ""Endless Summer"" by The Midnight?",the midnight,Artist
"Rap songs for a "" non rap fan""",,
Looking for bands/artists similar to Trust,trust,Artist
im looking for more dnb songs to make my dnb playlist even more awesome,,
Looking for high bpm techno stuffs,,
What genre is this?,,
Music like Worakls?,worakls,Artist
love Hermeto Pascoal- similar artists?,hermeto pascoal,Artist
please suggest songs similar to these masterpieces?,,
Looking for an artist / album that will move me,,
Putting a playlist together: Theme: Right in your ear.,,
"""The piper at the gates of dawn"" - Pink Floyd",pink floyd,Artist
"""The piper at the gates of dawn"" - Pink Floyd",the piper at the gates of dawn,WoA
Looking for Israeli mizrahi music,,
advice songs to one u bass and one ukulele group,,
Chill 90s/80s music with good vocals,,
Songs you fit my summer playlist.,,
Songs that are customer friendly that would fit in a tropical greenhouse.,,
Looking for like electronic music with a depressing feel to it I love lo-fi,,
I just want something similar to my two favorite songs.,,
Looking for pop songs about the end of the world,,
Any songs you know of that have a similar style?,,
Similar music as Sopor Aeternus?,sopor aeternus,Artist
A tune that could end war as we know it,,
Cherokee - Numb (2015),cherokee,Artist
Cherokee - Numb (2015),numb,WoA
Celebration of Life Songs,,
name a song like this one.,,
recommend me some songs similar to the Sunslammer Cement City Remix by Homestuck?,sunslammer,WoA
recommend me some songs similar to the Sunslammer Cement City Remix by Homestuck?,cement city,Artist
recommend me some songs similar to the Sunslammer Cement City Remix by Homestuck?,homestuck,Artist
Songs like Good News by Mac Miller? (preferrably hip-hop),good news,WoA
Songs like Good News by Mac Miller? (preferrably hip-hop),mac miller,Artist
Good instrumental and/or foreign language music,,
Something along the lines of either The Chain or Mr Blue Sky,the chain,WoA
Something along the lines of either The Chain or Mr Blue Sky,mr blue sky,WoA
Looking for Eastern European rap music,,
Heavy Bass x Gothic Rap like Oxygen by BONES??,oxygen,WoA
Heavy Bass x Gothic Rap like Oxygen by BONES??,bones,Artist
"Instrumentals with background ""screaming"" vocals",,
Dark and suspenseful music?,,
Looking for great post-metal bands. Metal music fan poking at post-rock.,,
"Looking for songs similar to this - sparse production, no drums etc. Please help me out!",,
blues songs by non-blues artists?,,
"Very specific, but any songs similar to Rage of Plastics by us girls?",rage of plastics,WoA
"Very specific, but any songs similar to Rage of Plastics by us girls?",us girls,Artist
"Progressive Metal bands with mostly clean vocals? (ie no growl, not no swearing)",,
Looking for something like Come Together by urbandawn,come together,WoA
Looking for something like Come Together by urbandawn,urbandawn,Artist
Music About Working Hard,,
"What is some dreamy ethereal music like ""Ascent"" by Brian Eno and the opening of ""Halcyon On and On""?",ascent,WoA
"What is some dreamy ethereal music like ""Ascent"" by Brian Eno and the opening of ""Halcyon On and On""?",brian eno,Artist
"What is some dreamy ethereal music like ""Ascent"" by Brian Eno and the opening of ""Halcyon On and On""?",halcyon on and on,WoA
Rock songs with the use of bagpipes? (e.g. Copperhead Road by Steve Earle or Dropkick Murphys),copperhead road,WoA
Rock songs with the use of bagpipes? (e.g. Copperhead Road by Steve Earle or Dropkick Murphys),steve earle,Artist
Rock songs with the use of bagpipes? (e.g. Copperhead Road by Steve Earle or Dropkick Murphys),dropkick murphys,Artist
Anything similar to this masterpiece? (Soothing / Jazz / Cowboy Bebop),cowboy bebop,Artist
"You're a time traveller living in the 80s, what future music do you put on a mixtape for your girlfriend?",,
modern uplifting rock songs like Pop Evil - Be Legendary,pop evil,Artist
modern uplifting rock songs like Pop Evil - Be Legendary,be legendary,WoA
Medieval/Electronica fusion?,,
"looking for more breezy, jazzy songs like this.",,
Help! Cant remember the song name.,,
Looking for some chill-out music with a hip-hop ish feel,,
I'm looking for innovative and complex rap.,,
Suggestions for my a capella group,,
Downtempo sad boy songs like this?,sad boy,WoA
songs/albums similar to songs on Weird Revolution by Butthole Surfers?,weird revolution,WoA
songs/albums similar to songs on Weird Revolution by Butthole Surfers?,butthole surfers,Artist
Looking for music similar to this mix?,,
"Any slow, guttural, low pitch metal × psydub music?",,
Looking for songs similar to Blood In The Cut by k.flay,blood in the cut,WoA
Looking for songs similar to Blood In The Cut by k.flay,kflay,Artist
Looking for rap suggestions,,
Songs about breakups that aren’t angry,,
"Songs like ""Music Sounds Better with You"" by Stardust and ""900 degrees"" by Ian Pooley",music sounds better with you,WoA
"Songs like ""Music Sounds Better with You"" by Stardust and ""900 degrees"" by Ian Pooley",stardust,Artist
"Songs like ""Music Sounds Better with You"" by Stardust and ""900 degrees"" by Ian Pooley",900 degrees,WoA
"Songs like ""Music Sounds Better with You"" by Stardust and ""900 degrees"" by Ian Pooley",ian pooley,Artist
Death Metal in the style of Death's 2 last albums,deaths,Artist
Visual Kei suggestions,,
a great song about dog(s)?,,
any songs that sound like the first 30 seconds of Monsters by Ruelle?,monsters,WoA
any songs that sound like the first 30 seconds of Monsters by Ruelle?,ruelle,Artist
Any metal songs with both male and female voices?,,
"I really enjoy laid back rap that has witty lyrics and a good beat, like “Weekend”-Mac Miller or “Erase Me”- Kid Cudi. Looking for more suggestions like these",weekend,WoA
"I really enjoy laid back rap that has witty lyrics and a good beat, like “Weekend”-Mac Miller or “Erase Me”- Kid Cudi. Looking for more suggestions like these", mac miller,Artist
"I really enjoy laid back rap that has witty lyrics and a good beat, like “Weekend”-Mac Miller or “Erase Me”- Kid Cudi. Looking for more suggestions like these",erase me,WoA
"I really enjoy laid back rap that has witty lyrics and a good beat, like “Weekend”-Mac Miller or “Erase Me”- Kid Cudi. Looking for more suggestions like these", kid cudi,Artist
"Similar bands to AC/DC, Volbeat, Our Lady Peace and Matchbox 20?",ac dc,Artist
"Similar bands to AC/DC, Volbeat, Our Lady Peace and Matchbox 20?",volbeat,Artist
"Similar bands to AC/DC, Volbeat, Our Lady Peace and Matchbox 20?",our lady peace,Artist
"Similar bands to AC/DC, Volbeat, Our Lady Peace and Matchbox 20?",matchbox 20,Artist
Music similar to The Five Stars?,the five stars,Artist
More songs like Session One by Eminem/Slaughterhouse ?,session one,WoA
More songs like Session One by Eminem/Slaughterhouse ?,eminem,Artist
More songs like Session One by Eminem/Slaughterhouse ?,slaughterhouse,Artist
"Songs like Kanye's new song, ""Violent Crimes""?",kanyes,Artist
"Songs like Kanye's new song, ""Violent Crimes""?",violent crimes,WoA
Looking for catchy punk with good guitars.,,
Suggestions for fans of Pharrell?,pharrell,Artist
"Looking for vocals that are occasionally yelled, with some voice cracking, like modest mouse and the talking heads! (No screamo) (female vocals would be cool)",modest mouse,Artist
"Looking for vocals that are occasionally yelled, with some voice cracking, like modest mouse and the talking heads! (No screamo) (female vocals would be cool)",the talking heads,Artist
Old Songs but Covered by Metal/Rock Bands,,
Any jazz songs with a girl singing?,,
Heavier & proggier metal bands,,
Any music with Dystopian vibes ?,,
Looking for something similar to the Doom 2016 soundtrack,doom,WoA
"I’m looking for artists similar to hobo Johnson and dandelion hands, artists that use spoken word",hobo johnson,Artist
"I’m looking for artists similar to hobo Johnson and dandelion hands, artists that use spoken word",dandelion hands,Artist
There any other good 90s/2000s Pop Alternative Rock bands like Barenaked Ladies?,barenaked ladies,Artist
Songs with the theme of good people corrupted by rage and pain wanting to see everything burn.,,
Quality rappers?,,
Need some songs similar to this,,
Euphoric or Blissful Chorus',,
Looking for upbeat songs,,
"Something relaxing and kind of hollow like Sebastien Tellier's ""Look""",sebastien telliers,Artist
"Something relaxing and kind of hollow like Sebastien Tellier's ""Look""",look,WoA
Good talking fold or story telling music?,,
"Weird request - based on ""meme remixes"" (Neil Cicierega)",neil cicierega,Artist
Songs similar to Feels like Summer (by Donald Glover),feels like summer,WoA
Songs similar to Feels like Summer (by Donald Glover),donald glover,Artist
Looking For Something As Depeche Mode's - Black Celebration,depeche modes,Artist
Looking For Something As Depeche Mode's - Black Celebration,black celebration,WoA
Watching Stranger Things and Drive... Synthy Suggestions?,stranger things,WoA
Watching Stranger Things and Drive... Synthy Suggestions?,drive,WoA
What are some good songs about an unwanted break up due to a long distance move?,,
Band similar to Mcafferty and Hotel Books?,mcafferty,Artist
Band similar to Mcafferty and Hotel Books?,hotel books,Artist
Artists that make music like this~,,
Really enjoyed the album Pornography by the Cure. Anything similar?,pornography,WoA
Really enjoyed the album Pornography by the Cure. Anything similar?,the cure,Artist
Looking for new music for my dad,,
Acoustic pieces having a semi-gloomy/dark-country style,,
"I need more music like this, please help.",,
Uppity psychedelic guitar riffs,,
Looking for songs that can give me this same feeling!,,
Songs for when you are super tired but you still need to keep working?,,
Looking for slow happy/sad music that's not weepy,,
"Music similar to *cringe* Linkin Park's remix album, Reanimation?", linkin parks,Artist
"Music similar to *cringe* Linkin Park's remix album, Reanimation?",reanimation,WoA
"Looking for a ""unholy choir"" song ?",,
Looking for anything punk/protopunk,,
Similar Music To Nero's Into The Past,neros,Artist
Similar Music To Nero's Into The Past,into the past,WoA
"Looking for Bands similar to: Deez Nuts, Hacktivist, DVSR ...",deez nuts,Artist
"Looking for Bands similar to: Deez Nuts, Hacktivist, DVSR ...",hacktivist,Artist
"Looking for Bands similar to: Deez Nuts, Hacktivist, DVSR ...",dvsr,Artist
Tik Tok Hits - Tik Tok Songs,,
looking for Any music similar to Waterflame - Can't Sleep,waterflame,Artist
looking for Any music similar to Waterflame - Can't Sleep,cant sleep,WoA
Suggestions for Throwback Playlist,,
"looking for vocoder-style, smooth, electronic, dreamy songs with a few catchy riffs!!",,
Songs similar to Yes To Heaven by Lana Del Rey,yes to heaven,WoA
Songs similar to Yes To Heaven by Lana Del Rey,lana del rey,Artist
Help make my playlist,,
Songs similar to Napkins - Riz La Vie,napkins,WoA
Songs similar to Napkins - Riz La Vie,riz la vie,Artist
Show me a song that I will fall in love with.,,
Artists like this (Otis Taylor - Nasty Letter),otis taylor,Artist
Artists like this (Otis Taylor - Nasty Letter),nasty letter,WoA
any suggestions for music similar to Portico Quartet?,portico quartet,Artist
recommend any songs similar to this one?,,
Songs like Swallowing Dust (or Пыль Глотаю),swallowing dust,WoA
Songs like Swallowing Dust (or Пыль Глотаю),пыль глотаю,WoA
Looking for similar music like I don't miss you anymore by Lisa Ekdahl,i dont miss you anymore,WoA
Looking for similar music like I don't miss you anymore by Lisa Ekdahl,lisa ekdahl,Artist
Something Like Tyler Childers,tyler childers,Artist
Looking for this song's name,,
All songs about Bugs! (Earthworms and Tarantulas) Help me with my breakup!,,
Basically looking for something like this without the wub wub,,
EDM/Funk/electro music with rather unpredictable beats and rhythms?,,
What are some good acoustic guitar albums?,,
So I'm going on Holiday to a summer resort in a few days...,,
Any songs like this one?,,
Music like passenger side (smallpools),smallpools,Artist
Music like passenger side (smallpools),passenger side,WoA
Chill Playlist Song Suggestions,,
Trap ish remix of popular songs,,
What kind of genre is this music?,,
I need help finding more ambient/downtempo/trip-hop songs for a playlist.,,
LocateEmilio - Jordan Year,locateemilio,Artist
LocateEmilio - Jordan Year, jordan year,WoA
Artists like rise against?,rise against,Artist
A music band like eluveitie,eluveitie,Artist
Need Songs to Bomb Down a Ski Hill to,,
80s Synth artists?,,
Looking for slow build up ambient music!,,
Can you recommend me music that fills you with the determination to go after your goals?,,
"I'm really into Michael Gira & Swans, and Jeff Mangum and Neutral Milk Hotel. Any other bands with fascinating frontmen with a truly unique sound to them?",michael gira,Artist
"I'm really into Michael Gira & Swans, and Jeff Mangum and Neutral Milk Hotel. Any other bands with fascinating frontmen with a truly unique sound to them?",swans,Artist
"I'm really into Michael Gira & Swans, and Jeff Mangum and Neutral Milk Hotel. Any other bands with fascinating frontmen with a truly unique sound to them?",jeff mangum,Artist
"I'm really into Michael Gira & Swans, and Jeff Mangum and Neutral Milk Hotel. Any other bands with fascinating frontmen with a truly unique sound to them?",neutral milk hotel,Artist
Crushed by a crush. Any songs similar to these?,,
Lyrically similar songs??,,
Looking for something hip hop/rap/rnb/dancehall,,
"Looking for instrumental music to study to that has a feeling of magic/wonder to it, that isn't too schmaltzy.",,
Looking for depressive thought validation music,,
Music about creativity or the creative process.,,
Looking Down Mood/Sad Music/Chill,,
"Piano: Eclectic, Chill, Modern!",,
What songs are similar to Seventeen by Sjowgren?,seventeen,WoA
What songs are similar to Seventeen by Sjowgren?,sjowgren,Artist
Similar songs to the following:,,
Thunderstorm fitting music,,
Can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,somebody that i used to know,WoA
Can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,gotye,Artist
Can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,passionfruit,WoA
Can some one find something similar to somebody that i used to know by gotye and passionfruit by drake,drake,Artist
Looking for music similar to ‘I wish’ by Skee Lo,i wish,WoA
Looking for music similar to ‘I wish’ by Skee Lo,skee lo,Artist
Epic Jazz with heavy drums,,
I absolutely love japanese songs that sound sweet and pretty like this one!,,
Songs for would-be lovers who know they can only ever be friends?,,
Similar artists to Marilyn Manson (other than Nine Inch Nails)?,marilyn manson,Artist
Similar artists to Marilyn Manson (other than Nine Inch Nails)?,nine inch nails,Artist
[DARK POP] Music for dancing alone in your house...,,
"Looking for new stuff, here are some of my favorite bands",,
I need some new music,,
Looking for relatively new artists similar to...,,
"I listen to everything from musical theater to rage against the machine so I’m not partial to genre, just looking for songs that make you wanna dance/sing along :)",rage against the machine,Artist
"Songs similar to the chorus of Kid Cudi's ""Scott Mescudi vs The World""",kid cudis,Artist
"Songs similar to the chorus of Kid Cudi's ""Scott Mescudi vs The World""",scott mescudi vs the world,WoA
Looking for more unique “aesthetic” indie music,,
Music to help with a depression wave?,,
recommend songs with female vocals or songs with female singers ?,,
"Songs/Artists similar to Yeek, Steve Lacy",steve lacy,Artist
"Songs/Artists similar to Yeek, Steve Lacy",yeek,Artist
EDM on vinyl??,,
Looking for chain gang/work songs,,
Something like Joji,joji,Artist
Thematic Music- please help,,
I need help finding good songs for my playlist,,
Techno: more like this song,,
bands that have male and female singers,,
Need newer (2016+) indie music. any recommendations?,,
"Еріс sоngs lіkе ""Ваnk rоbbеrу рrоlоguе"" & ""brоthеrs іn аrms""?",ваnk rоbbеrу рrоlоguе,WoA
"Еріс sоngs lіkе ""Ваnk rоbbеrу рrоlоguе"" & ""brоthеrs іn аrms""?",brоthеrs іn аrms,WoA
Music suggestions similar to 'Old Town Road' by Lil Nas X?,old town road,WoA
Music suggestions similar to 'Old Town Road' by Lil Nas X?,lil nas x,Artist
Looking for songs similar to the first 40ish seconds of OneRepublic's Feel Again.,onerepublics,Artist
Looking for songs similar to the first 40ish seconds of OneRepublic's Feel Again.,feel again,WoA
Suggest some necessary (Rock/Indie Rock) Albums,,
bands that sound like the magnetic fields - i dont want to get over you,the magnetic fields,Artist
bands that sound like the magnetic fields - i dont want to get over you,i dont want to get over you,WoA
Looking for Metal (any subgenre) that combines female clean vocals with male growl,,
"Looking for spacey, kinda minimal atmospheric house/dance music",,
Songs about wanting to give someone (significant other) their best life,,
songs similar to hey there delilah by the plain white T’s,hey there delilah,WoA
songs similar to hey there delilah by the plain white T’s,plain white ts,Artist
Any song suggestions like this: I think it's hiphop/rnb,,
"Looking for weird, unapologetically-pop pop music",,
Going on a 4 day road trip- looking for great road trip soundtrack tunes!,,
songs that are new rock,,
recommend something like this to me?,,
Looking for more sad blues songs that have a hint of acceptance,,
Looking for music similiar to Jamiroquai,jamiroquai,Artist
"Songs like Nandemonaiya? I don't care about the lyrics, just the music is what I like; the powerful piano sound.",nandemonaiya,WoA
"Looking for music with Celtic influences, namely music that makes use of uilleann pipes.",,
Bradley Cooper's Song in A Star Is Born Trailer,a star is born,WoA
Bradley Cooper's Song in A Star Is Born Trailer,bradley coopers,Artist
Looking for minimalistic rhytmic music like Sicario OST,sicario,WoA
Music like Jon Bellion?,jon bellion,Artist
Music similar to Maniac (Netflix Series),maniac,WoA
"Looking for music similar to this. You can't understand the lyrics, but the title has the name of the english version",,
Alt/Indie Pop/Rock songs with interplay between a male and a female singer?,,
Rock/metal suggestions,,
Trying to Fill Out An Angry Playlist,,
Songs similar to this?,,
Up to listen to anything. Hit me,,
Please recommend me some hurricane distractions!,,
Looking for that 80's bass and drum sound.,,
"What songs feel similar to 'I Was Feeling Down, I Found a Nice Witch and We're Friends' by In Love With a Ghost?",i was feeling down i found a nice witch and were friends,WoA
"What songs feel similar to 'I Was Feeling Down, I Found a Nice Witch and We're Friends' by In Love With a Ghost?",in love with a ghost,Artist
Looking for a song like Routainen Maa (Finnish song),routainen maa,WoA
Songs that evoke the colour red,,
Songs like Free by Rudimental or Lost Boy by Ruth B? I like songs that tell stories.,free,WoA
Songs like Free by Rudimental or Lost Boy by Ruth B? I like songs that tell stories.,rudimental,Artist
Songs like Free by Rudimental or Lost Boy by Ruth B? I like songs that tell stories.,lost boy,WoA
Songs like Free by Rudimental or Lost Boy by Ruth B? I like songs that tell stories.,ruth b,Artist
I'm a huge fan of the Red Hot Chili Peppers. What other artists might I like?,red hot chili peppers,Artist
Albums or bands in the style of the first gorillaz album,gorillaz,Artist
Looking for something similar to ‘Look at Me Now’ by Electric Light Orchestra, look at me now,WoA
Looking for something similar to ‘Look at Me Now’ by Electric Light Orchestra,electric light orchestra,Artist
Driving across the country to western Montana in May. Looking for songs to listen to while driving out west.,,
Surf rock?,,
Stumbled upon some blues edm style stuff. Things like make you feel good by Zoogma and home by moontricks,make you feel good,WoA
Stumbled upon some blues edm style stuff. Things like make you feel good by Zoogma and home by moontricks,zoogma,Artist
Stumbled upon some blues edm style stuff. Things like make you feel good by Zoogma and home by moontricks,home,WoA
Stumbled upon some blues edm style stuff. Things like make you feel good by Zoogma and home by moontricks,moontricks,Artist
